"Date","Time","Open","High","Low","Close","Up","Down","Volume"
04/10/2026,12:25,6813.98,6813.98,6810.05,6812.05,8916,9481,18397.00
04/10/2026,12:30,6812.07,6814.52,6810.07,6810.48,8947,8733,17680.00
04/10/2026,12:35,6810.50,6813.82,6808.46,6812.01,10000,8392,18392.00
04/10/2026,12:40,6812.08,6813.85,6810.99,6813.70,10359,8801,19160.00
04/10/2026,12:45,6813.64,6815.83,6811.64,6815.30,9680,7347,17027.00
04/10/2026,12:50,6815.34,6816.51,6814.96,6815.92,7087,7642,14729.00
04/10/2026,12:55,6815.87,6818.72,6815.74,6818.71,8587,7255,15842.00
04/10/2026,13:00,6818.66,6818.94,6817.52,6818.31,8392,8317,16709.00
04/10/2026,13:05,6818.31,6818.37,6813.81,6813.83,8437,13407,21844.00
04/10/2026,13:10,6813.86,6814.90,6811.99,6813.64,10129,11015,21144.00
04/10/2026,13:15,6813.58,6816.28,6813.12,6815.25,13042,9295,22337.00
04/10/2026,13:20,6815.29,6818.69,6815.29,6818.47,10747,10467,21214.00
04/10/2026,13:25,6818.45,6820.30,6818.11,6818.36,9282,10000,19282.00
04/10/2026,13:30,6818.39,6818.54,6816.90,6817.41,8326,9938,18264.00
04/10/2026,13:35,6817.38,6817.98,6815.55,6816.89,9615,9844,19459.00
04/10/2026,13:40,6816.87,6817.44,6815.37,6815.87,8448,11301,19749.00
04/10/2026,13:45,6815.85,6816.53,6812.55,6814.86,8979,8747,17726.00
04/10/2026,13:50,6814.67,6815.96,6814.03,6815.23,8803,8730,17533.00
04/10/2026,13:55,6815.21,6816.26,6814.58,6816.26,9459,9621,19080.00
04/10/2026,14:00,6816.32,6817.16,6815.03,6816.82,10520,10952,21472.00
04/10/2026,14:05,6816.81,6819.98,6816.64,6819.60,12513,10269,22782.00
04/10/2026,14:10,6819.56,6821.08,6818.84,6819.52,12125,10785,22910.00
04/10/2026,14:15,6819.56,6823.42,6819.38,6823.09,12420,9368,21788.00
04/10/2026,14:20,6823.12,6823.19,6821.31,6822.46,12998,11461,24459.00
04/10/2026,14:25,6822.54,6823.38,6819.91,6820.48,14396,13834,28230.00
04/10/2026,14:30,6820.35,6820.35,6818.43,6820.33,13045,13082,26127.00
04/10/2026,14:35,6820.37,6820.37,6816.77,6817.17,16162,17067,33229.00
04/10/2026,14:40,6817.14,6818.11,6813.28,6813.87,17033,20353,37386.00
04/10/2026,14:45,6814.07,6815.61,6810.82,6814.46,20723,18366,39089.00
04/10/2026,14:50,6814.49,6815.65,6810.39,6812.16,22221,23253,45474.00
04/10/2026,14:55,6812.24,6815.55,6810.52,6812.54,31877,42415,74292.00
04/10/2026,15:00,6812.46,6817.90,6810.72,6816.79,209080,616008,825088.00
04/13/2026,08:35,6806.47,6806.47,6794.68,6798.44,98700,40382,139082.00
04/13/2026,08:40,6798.50,6798.50,6790.42,6796.06,22108,24796,46904.00
04/13/2026,08:45,6795.84,6797.34,6792.35,6793.04,18558,21471,40029.00
04/13/2026,08:50,6793.03,6811.70,6790.02,6811.42,21127,20035,41162.00
04/13/2026,08:55,6811.32,6816.54,6803.52,6810.60,17097,15994,33091.00
04/13/2026,09:00,6810.87,6820.13,6807.75,6820.09,17673,13546,31219.00
04/13/2026,09:05,6820.77,6823.15,6812.76,6817.64,19135,18701,37836.00
04/13/2026,09:10,6817.62,6821.10,6815.94,6817.90,16435,17384,33819.00
04/13/2026,09:15,6817.76,6817.78,6812.56,6814.61,14321,15163,29484.00
04/13/2026,09:20,6814.70,6814.73,6809.34,6813.14,11770,14316,26086.00
04/13/2026,09:25,6813.23,6818.50,6808.74,6817.68,15898,11596,27494.00
04/13/2026,09:30,6817.59,6819.25,6815.84,6818.87,12388,10818,23206.00
04/13/2026,09:35,6819.03,6822.98,6818.51,6821.79,13944,11461,25405.00
04/13/2026,09:40,6821.50,6821.50,6816.93,6818.84,11009,13047,24056.00
04/13/2026,09:45,6818.78,6824.27,6818.57,6823.72,13543,11162,24705.00
04/13/2026,09:50,6823.74,6824.61,6819.32,6820.09,14570,12468,27038.00
04/13/2026,09:55,6820.11,6825.90,6819.22,6825.09,15706,11378,27084.00
04/13/2026,10:00,6825.15,6830.41,6823.05,6829.30,16176,14302,30478.00
04/13/2026,10:05,6829.22,6829.22,6821.51,6821.57,13517,15865,29382.00
04/13/2026,10:10,6821.66,6824.27,6820.81,6823.36,14775,12459,27234.00
04/13/2026,10:15,6823.33,6826.77,6822.26,6824.12,12461,11861,24322.00
04/13/2026,10:20,6824.17,6825.80,6820.65,6820.73,11622,13129,24751.00
04/13/2026,10:25,6820.88,6824.58,6820.14,6820.27,13204,15779,28983.00
04/13/2026,10:30,6820.38,6822.10,6818.89,6819.64,13554,14602,28156.00
04/13/2026,10:35,6819.28,6819.37,6816.12,6818.58,13420,13469,26889.00
04/13/2026,10:40,6818.70,6825.77,6817.80,6823.58,14345,12274,26619.00
04/13/2026,10:45,6823.61,6824.52,6818.40,6819.19,11073,10599,21672.00
04/13/2026,10:50,6819.21,6820.04,6817.01,6818.32,10457,11113,21570.00
04/13/2026,10:55,6818.34,6819.03,6817.02,6817.44,12106,9222,21328.00
04/13/2026,11:00,6817.43,6819.98,6817.17,6818.67,9994,9919,19913.00
04/13/2026,11:05,6818.69,6819.51,6814.09,6815.76,9543,10410,19953.00
04/13/2026,11:10,6815.78,6826.80,6814.55,6821.48,11947,13490,25437.00
04/13/2026,11:15,6821.44,6824.25,6820.82,6822.87,10748,8882,19630.00
04/13/2026,11:20,6822.89,6826.28,6821.58,6825.80,11058,10855,21913.00
04/13/2026,11:25,6825.82,6831.23,6825.80,6830.96,11308,9469,20777.00
04/13/2026,11:30,6831.00,6839.38,6830.60,6837.97,11684,9553,21237.00
04/13/2026,11:35,6838.02,6842.57,6835.40,6838.31,11855,11334,23189.00
04/13/2026,11:40,6837.97,6845.76,6837.70,6840.36,13938,10547,24485.00
04/13/2026,11:45,6839.05,6841.24,6831.28,6839.78,12819,11614,24433.00
04/13/2026,11:50,6839.67,6846.54,6839.14,6844.66,12593,12091,24684.00
04/13/2026,11:55,6844.68,6851.79,6844.27,6845.30,12581,13455,26036.00
04/13/2026,12:00,6845.26,6847.82,6843.02,6847.06,10020,8605,18625.00
04/13/2026,12:05,6847.11,6849.26,6846.06,6848.56,11247,9087,20334.00
04/13/2026,12:10,6848.58,6849.24,6844.84,6846.37,8853,8214,17067.00
04/13/2026,12:15,6846.38,6847.31,6845.81,6847.04,9666,9988,19654.00
04/13/2026,12:20,6846.98,6851.30,6846.64,6849.95,10795,8272,19067.00
04/13/2026,12:25,6850.06,6850.06,6847.00,6847.11,7173,8273,15446.00
04/13/2026,12:30,6847.13,6848.96,6846.96,6848.96,9152,8614,17766.00
04/13/2026,12:35,6848.97,6850.63,6847.41,6847.58,9204,9597,18801.00
04/13/2026,12:40,6847.54,6848.23,6845.25,6847.00,10038,10681,20719.00
04/13/2026,12:45,6847.00,6847.69,6845.18,6845.38,9746,12091,21837.00
04/13/2026,12:50,6845.39,6845.55,6844.10,6844.63,8338,9512,17850.00
04/13/2026,12:55,6844.58,6846.01,6842.58,6845.96,9009,9600,18609.00
04/13/2026,13:00,6845.96,6846.95,6845.06,6845.28,8954,8989,17943.00
04/13/2026,13:05,6845.26,6849.23,6845.26,6848.02,12216,8786,21002.00
04/13/2026,13:10,6847.99,6849.31,6847.18,6849.01,10064,10410,20474.00
04/13/2026,13:15,6849.00,6850.03,6848.96,6849.60,10179,8964,19143.00
04/13/2026,13:20,6849.58,6850.12,6848.54,6848.63,9469,11092,20561.00
04/13/2026,13:25,6848.65,6850.01,6847.66,6847.85,10521,10744,21265.00
04/13/2026,13:30,6847.78,6848.13,6846.35,6847.36,9159,9247,18406.00
04/13/2026,13:35,6847.33,6849.07,6846.65,6848.83,11161,10844,22005.00
04/13/2026,13:40,6849.03,6850.54,6848.42,6850.06,10417,9673,20090.00
04/13/2026,13:45,6850.10,6851.95,6849.06,6851.80,10968,9634,20602.00
04/13/2026,13:50,6851.80,6855.39,6851.76,6854.83,11769,9446,21215.00
04/13/2026,13:55,6854.81,6857.85,6854.17,6857.22,11390,10567,21957.00
04/13/2026,14:00,6857.23,6858.37,6856.64,6856.99,10265,10287,20552.00
04/13/2026,14:05,6857.01,6859.50,6856.87,6857.61,11933,11142,23075.00
04/13/2026,14:10,6857.63,6857.75,6855.10,6856.74,11646,12243,23889.00
04/13/2026,14:15,6856.64,6856.79,6854.53,6855.74,11116,12495,23611.00
04/13/2026,14:20,6855.67,6858.90,6855.35,6858.38,14560,10834,25394.00
