"Date","Time","Open","High","Low","Close","Up","Down"
05/28/2026,08:35,7519.82,7521.30,7510.64,7513.34,33180,121879
05/28/2026,08:40,7513.91,7513.91,7508.04,7510.20,23071,24321
05/28/2026,08:45,7509.90,7513.03,7508.34,7511.68,20423,23864
05/28/2026,08:50,7511.76,7514.72,7508.74,7509.96,22090,22603
05/28/2026,08:55,7509.80,7519.94,7508.67,7514.56,19804,23402
05/28/2026,09:00,7514.54,7518.57,7513.94,7518.49,19623,19299
05/28/2026,09:05,7518.24,7524.03,7517.35,7520.89,22970,22772
05/28/2026,09:10,7520.72,7523.62,7516.70,7523.62,20471,19599
05/28/2026,09:15,7523.50,7554.73,7518.19,7547.98,41179,29473
05/28/2026,09:20,7548.24,7551.66,7539.46,7547.20,25287,25323
05/28/2026,09:25,7547.70,7548.78,7536.28,7541.00,19972,22508
05/28/2026,09:30,7540.91,7544.97,7540.30,7544.32,15515,14952
05/28/2026,09:35,7544.49,7547.11,7535.56,7535.56,16553,19918
05/28/2026,09:40,7535.72,7539.61,7534.59,7536.53,17842,17919
05/28/2026,09:45,7536.52,7542.11,7535.99,7542.06,16035,17476
05/28/2026,09:50,7541.77,7544.65,7537.20,7539.82,15894,17589
05/28/2026,09:55,7539.96,7546.12,7539.96,7545.57,16217,12932
05/28/2026,10:00,7545.71,7546.25,7542.24,7545.66,15923,13095
05/28/2026,10:05,7545.70,7554.78,7544.85,7554.44,17906,14965
05/28/2026,10:10,7554.85,7556.52,7551.27,7552.98,15170,14916
05/28/2026,10:15,7553.13,7553.71,7550.40,7550.71,13521,13394
05/28/2026,10:20,7550.82,7552.66,7548.96,7551.87,13329,14517
05/28/2026,10:25,7552.02,7554.71,7551.94,7554.13,14895,11677
05/28/2026,10:30,7553.93,7558.64,7553.64,7556.92,16117,15185
05/28/2026,10:35,7556.76,7558.34,7555.53,7557.75,14221,13805
05/28/2026,10:40,7557.59,7560.08,7556.34,7559.09,14094,12646
05/28/2026,10:45,7559.33,7559.55,7556.66,7558.02,12827,11834
05/28/2026,10:50,7557.88,7558.83,7556.20,7557.01,11442,13517
05/28/2026,10:55,7556.88,7559.84,7556.88,7557.44,11687,10804
05/28/2026,11:00,7557.30,7560.19,7556.47,7557.97,9922,11470
05/28/2026,11:05,7557.83,7558.03,7554.65,7556.48,12988,10320
05/28/2026,11:10,7556.44,7558.25,7556.44,7557.98,11276,10690
05/28/2026,11:15,7558.04,7559.34,7557.77,7558.86,10863,8932
05/28/2026,11:20,7558.76,7562.76,7557.28,7562.25,11066,11564
05/28/2026,11:25,7562.16,7565.59,7560.13,7564.82,10939,11137
05/28/2026,11:30,7564.88,7564.88,7560.73,7561.00,8394,10895
05/28/2026,11:35,7561.04,7561.90,7559.38,7559.85,9618,9413
05/28/2026,11:40,7559.96,7560.84,7558.37,7559.60,9114,9226
05/28/2026,11:45,7559.60,7562.08,7559.38,7561.02,13759,10074
05/28/2026,11:50,7561.00,7563.16,7560.17,7560.36,10525,10396
05/28/2026,11:55,7560.40,7561.22,7559.50,7560.28,11009,9959
05/28/2026,12:00,7560.23,7565.62,7560.17,7564.65,12205,8581
05/28/2026,12:05,7564.67,7566.58,7564.32,7565.05,11483,11175
05/28/2026,12:10,7565.13,7565.69,7561.62,7561.62,11286,10757
05/28/2026,12:15,7561.66,7562.66,7560.47,7560.66,11310,9344
05/28/2026,12:20,7560.68,7561.08,7558.70,7558.87,9882,11479
05/28/2026,12:25,7558.88,7562.68,7558.80,7562.35,10784,8972
05/28/2026,12:30,7562.34,7562.79,7559.84,7559.84,11499,13050
05/28/2026,12:35,7559.89,7562.07,7558.77,7558.77,10395,11843
05/28/2026,12:40,7558.67,7561.90,7558.37,7561.82,11026,12357
05/28/2026,12:45,7561.83,7563.01,7560.85,7561.87,10620,11431
05/28/2026,12:50,7561.78,7565.52,7561.70,7565.09,11843,8812
05/28/2026,12:55,7565.19,7566.63,7564.66,7566.16,13132,10387
